url,name,cost_text,rooms,parking,desc
https://www.domain.com.au/4-ensign-street-maribyrnong-vic-3032-17082297,"4 Ensign Street, Maribyrnong VIC 3032","$1,900","6 Beds, 3 Baths",2 Parking,"Discover the perfect blend of comfort and convenience in this stunning six-bedroom home. This unique home offers an ideal living space for families, professionals, or anyone looking to enjoy a high-quality lifestyle in one of Melbourne's most vibrant suburbs."
https://www.domain.com.au/2601-82-flinders-street-melbourne-vic-3000-16272189,"2601/82 Flinders Street, Melbourne VIC 3000",$1900 per week,"4 Beds, 2 Baths",2 Parking,JORDAN PALMA
https://www.domain.com.au/3-64-irving-road-toorak-vic-3142-17051493,"3/64 Irving Road, Toorak VIC 3142","$1,895.00","2 Beds, 2 Baths",3 Parking,"FULLY FURNISHED Privately situated in one of Melbourne's preeminent boulevards, this luxuriously renovated town residence is privileged in outlook and amenity offering a living environment of rare refinement and utter exclusivity. At the forefront of elegant design and sophisticated low-maintenance living, no expense has been spared in the renovation with every aspect complementing the home's"
https://www.domain.com.au/101-67-well-street-brighton-vic-3186-17150311,"101/67 Well Street, Brighton VIC 3186","$1,875.00","3 Beds, 2 Baths",2 Parking,Ben McDonald
https://www.domain.com.au/7-72-orrong-road-elsternwick-vic-3185-16971211,"7/72 Orrong Road, Elsternwick VIC 3185","$1,850 per week","4 Beds, 2 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/195a-wood-street-flinders-vic-3929-16903846,"195A Wood Street, Flinders VIC 3929",$1850 Per Week,"4 Beds, 3 Baths",2 Parking,"Discover the epitome of coastal living in this stunning 4-bedroom, 3-bathroom residence nestled in the sought-after enclave of Flinders. Boasting breathtaking views of Mushroom Reef to Bass Strait."
https://www.domain.com.au/14-madeline-street-glen-waverley-vic-3150-16604089,"14 Madeline Street, Glen Waverley VIC 3150","$1,850","5 Beds, 4 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/12-admiralty-court-safety-beach-vic-3936-17032243,"12 Admiralty Court, Safety Beach VIC 3936",$1850 per week,"3 Beds, 3 Baths",3 Parking,*Private Inspections Invited*
https://www.domain.com.au/7507-70-southbank-boulevard-southbank-vic-3006-14683556,"7507/70 Southbank Boulevard, Southbank VIC 3006","$1,841","3 Beds, 2 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/4-church-street-abbotsford-vic-3067-16934548,"4 Church Street, Abbotsford VIC 3067",$1800 per week,"4 Beds, 3 Baths",2 Parking,HOW DO I REGISTER TO INSPECT ? - Instructions available below this ad.
https://www.domain.com.au/5-gladstone-avenue-aspendale-vic-3195-17183518,"5 Gladstone Avenue, Aspendale VIC 3195",$1800pw / $7821pcm,"5 Beds, 3 Baths",2 Parking,"This five-bedroom, three-bathroom, fully furnished sanctuary has been stylishly appointed for carefree family living. Comprising of a spacious open plan living area extending to a alfresco oasis and overlooked by a modern stone kitchen with stainless steel appliances. Upstairs there is an additional living zone with a balcony overlooking the water."
https://www.domain.com.au/26-riverside-terrace-barwon-heads-vic-3227-17092796,"26 Riverside Terrace, Barwon Heads VIC 3227","$1,800.00","6 Beds, 2 Baths",4 Parking,* Unverified feature
https://www.domain.com.au/464-new-street-brighton-vic-3186-17110437,"464 New Street, Brighton VIC 3186","$1,800.00","4 Beds, 2 Baths",1 Parking,"Beautifully presented Edwardian home combines period elegance and contemporary design. Just as impressive is the Brighton location bordering Elwood within an easy walk to local cafes, parks and the beach, and 450 metres from Elsternwick Primary School. Spacious and welcoming with a central hallway leading to the open plan lounge, dining and modern light-filled kitchen featuring a 90cm Smeg oven"
https://www.domain.com.au/182-dendy-street-brighton-east-vic-3187-17172276,"182 Dendy Street, Brighton East VIC 3187","$1,800.00","4 Beds, 2 Baths",2 Parking,Amelia Falvo
https://www.domain.com.au/1-29-bulla-road-bulla-vic-3428-17125170,"1-29 Bulla Road, Bulla VIC 3428","$1,800 per week","6 Beds, 2 Baths",− Parking,Phone enquiries - please quote property ID 34494.
https://www.domain.com.au/29-drummond-street-carlton-vic-3053-11093755,"29 Drummond street, Carlton VIC 3053","$1,800","7 Beds, 3 Baths",1 Parking,BIg Victorian house for rent with city skyline views comprise as follows :-
https://www.domain.com.au/176-scotchmans-rd-drysdale-vic-3222-16884014,"176 Scotchmans Rd, Drysdale VIC 3222","$1,800 weekly","7 Beds, 4 Baths",6 Parking,* Unverified feature
https://www.domain.com.au/7105-370-queens-street-melbourne-vic-3000-17021822,"7105/370 Queens Street, Melbourne VIC 3000",$1800 Fully Furnished pw,"3 Beds, 2 Baths",2 Parking,* Unverified feature
https://www.domain.com.au/penthouse-312-high-st-northcote-vic-3070-16962129,"Penthouse/312 High St, Northcote VIC 3070",$1800 per week,"3 Beds, 3 Baths",1 Parking,Call Alma 0425825889
https://www.domain.com.au/1-2-lumley-court-prahran-vic-3181-17170077,"1/2 Lumley Court, Prahran VIC 3181","$1,800 Per Week","3 Beds, 2 Baths",2 Parking,Tom Koller
https://www.domain.com.au/1-shipley-street-south-yarra-vic-3141-17030423,"1 Shipley Street, South Yarra VIC 3141","$1,800.00","4 Beds, 3 Baths",2 Parking,"Positioned high on South Yarra Hill and featuring light-filled living areas and attractive North facing outdoor spaces, this Marcus Martin town residence (c. 1939) has been meticulously maintained and enhanced to provide effortless comfort throughout. Comprises elegant living and dining areas, a second separate dining or optional study, spacious kitchen with granite countertops alongside European"
https://www.domain.com.au/6207-18-hoff-bvd-southbank-vic-3006-17156399,"6207/18 Hoff Bvd, Southbank VIC 3006","$1,800.00","3 Beds, 2 Baths",1 Parking,Meggan Eade
https://www.domain.com.au/1-loch-street-st-kilda-west-vic-3182-17172517,"1 Loch Street, St Kilda West VIC 3182","$1,800","4 Beds, 2 Baths",3 Parking,"Experience the charm and elegance of this beautifully maintained four-bedroom period home in the heart of St Kilda West. Featuring stunning Art Deco details, this residence boasts high ceilings, an abundance of natural light, and modern comforts throughout. Enjoy year-round comfort with ducted heating and cooling, complemented by hydronic heating in each room."
