url,name,cost_text,rooms,parking,desc,schools
https://www.domain.com.au/33-kandra-street-dandenong-north-vic-3175-16076465,"33 Kandra Street, Dandenong North VIC 3175",$600,"4 Beds, 2 Baths",2 Parking,"Melvic Real Esate is pleased to present 33 kandra street, Dandenong North, the perfect property for tenants wanting to stay close to a whole range of amenities including Rosewood Downs Primary, Nazareth College, Mulgrave Primary, St Elizabeth Parish School, public transport, parks, Waverley Gardens Shopping Centre, Eastlink, and much more.",N/A
https://www.domain.com.au/2-4-doveton-avenue-eumemmerring-vic-3177-17105783,"2/4 Doveton Avenue, Eumemmerring VIC 3177",$ 570 PER WEEK,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/4-5-eden-court-noble-park-vic-3174-17177300,"4/5 Eden Court, Noble Park VIC 3174",$565 per week/$2455 pcm,"2 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/13-manooka-court-keysborough-vic-3173-17190688,"13 Manooka Court, Keysborough VIC 3173",$560 per week,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-4-trainor-court-noble-park-vic-3174-17096709,"1/4 Trainor Court, Noble Park VIC 3174",$560 per week,"3 Beds, 1 Bath",1 Parking,Barry Plant's Award Winning Property Management Department is proud to offer you this family sized unit for lease.,N/A
https://www.domain.com.au/24-jasmine-drive-noble-park-vic-3174-17165275,"24 Jasmine Drive, Noble Park VIC 3174",$560 P/W $2433p/m,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-139-carlton-road-dandenong-north-vic-3175-17187751,"2/139 Carlton Road, Dandenong North VIC 3175",$550,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/45-ti-tree-drive-doveton-vic-3177-17057252,"45 Ti-Tree Drive, Doveton VIC 3177",$550 Per Week,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/47-tarata-drive-doveton-vic-3177-17157943,"47 Tarata Drive, Doveton VIC 3177",$550,"4 Beds, 2 Baths",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/10-barnett-grove-noble-park-vic-3174-17172207,"10 Barnett Grove, Noble Park VIC 3174","$550 PW/ $2,390 PM","3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/2-10a-carpenter-street-noble-park-vic-3174-16347003,"2/10A Carpenter Street, Noble Park VIC 3174",$550 per week,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/25-azalea-crescent-dandenong-north-vic-3175-17155995,"25 Azalea Crescent, Dandenong North VIC 3175",$540,"3 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/9-prunus-grove-doveton-vic-3177-17169576,"9 Prunus Grove, Doveton VIC 3177",$530,"4 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
https://www.domain.com.au/22-rebecca-street-doveton-vic-3177-15654151,"22 Rebecca Street, Doveton VIC 3177",$530,"3 Beds, 1 Bath",2 Parking,* Unverified feature,N/A
https://www.domain.com.au/1-14-marna-court-noble-park-vic-3174-17156226,"1/14 Marna Court, Noble Park VIC 3174",$ 530 PER WEEK,"2 Beds, 1 Bath",1 Parking,* Unverified feature,N/A
